LON,LAT,FID,TRUESKILL_MEAN,TRUESKILL_STD,DATE
48.22975095,30.42468883,7408,0.001665483,0.313966,08/12/2023 00:00
116.897112,57.12055169,11104,0.715268882,0.665289266,08/12/2021 00:00
117.8378636,26.78236533,5149,0.314500996,0.758612219,08/12/2023 00:00
34.77373954,11.30042275,3618,0.5550215,0.074316452,12/05/2020 00:00
129.5104878,42.89476392,9422,0.150992704,0.722266124,24/03/2023 00:00
4.054230775,49.44445645,4022,0.325881902,0.173016117,27/05/2020 00:00
15.77808805,10.80200116,1600,0.662816355,0.182461747,08/03/2019 00:00
115.5746048,27.30168312,7786,0.370873474,0.309113482,08/12/2023 00:00
128.9222145,58.4889392,6931,0.955422173,0.356798624,16/06/2015 00:00
-71.78020897,-36.25317082,2115,0.509861429,0.132104493,22/01/2024 00:00
15.79260605,46.47134961,2265,0.501519817,0.080533235,04/06/2022 00:00
-54.09090058,-6.167236182,3503,0.954300319,0.112703174,10/08/2015 00:00
6.576979621,49.64436414,2399,0.236023527,0.319290804,17/04/2022 00:00
-70.33611522,-15.19154062,3345,0.557389438,0.139173996,17/11/2022 00:00
15.45836324,-3.010007156,4692,0.954173039,0.119363315,13/11/2023 00:00
-50.05119588,-27.55700547,4882,0.55805546,0.134948896,24/12/2021 00:00
25.2955397,0.644469365,3726,0.686325998,0.143278752,16/02/2020 00:00
44.40017799,32.04363863,4322,0.171018355,0.452522524,09/08/2018 00:00
-8.646316118,10.43283031,1122,0.440289145,0.065357579,05/12/2023 00:00
-97.77249061,35.93562939,2131,0.47896168,0.081837252,27/02/2023 00:00
-89.61459408,48.41886782,2313,0.442287858,0.036801392,17/06/2022 00:00
55.58481565,51.71807264,3560,0.572403888,0.061727675,07/06/2021 00:00
45.68860416,-20.47367006,311,0.957193544,0.073148817,09/06/2022 00:00
48.87546448,31.53777579,750,0.190448865,0.170619021,08/12/2023 00:00
46.18851497,-24.44136266,908,0.678728361,0.10062262,11/06/2023 00:00
-51.41414238,-27.65143921,3223,0.672785583,0.126331478,01/08/2022 00:00
26.19328306,-30.45480905,6793,0.626795397,0.112511051,18/06/2022 00:00
47.6825807,-16.21406531,3594,0.953376426,0.107525095,16/08/2022 00:00
27.6999201,52.09297207,965,0.665259442,0.120161297,07/06/2021 00:00
-60.53711745,54.86349163,5585,0.957212291,0.118512494,05/08/2021 00:00
-66.38367713,-8.790541668,841,0.95029186,0.270709886,10/07/2023 00:00
14.05749247,-5.036007926,846,0.71916719,0.166816989,23/02/2017 00:00
38.15819386,13.74388134,1182,0.955415595,0.178009834,26/01/2022 00:00
13.97556303,48.13389734,6903,0.386641203,0.215409441,09/07/2023 00:00
-51.4974592,-29.05959166,814,0.70635827,0.120011284,02/08/2022 00:00
38.80561974,45.89410222,4070,0.522813377,0.100635715,17/09/2019 00:00
-6.240601281,10.94203817,5665,0.604409898,0.07899033,09/03/2024 00:00
9.129307692,49.93287054,81,0.184568107,0.372046691,04/01/2022 00:00
-2.460084209,42.47573554,770,0.255048152,0.36341721,08/12/2023 00:00
-61.04107901,-12.45488515,5325,0.579140447,0.095398866,08/07/2022 00:00
-12.11639055,7.329391333,2951,0.682499004,0.132343625,05/10/2022 00:00
30.07644835,53.08642592,173,0.493271612,0.114255084,08/07/2020 00:00
-3.8999444,15.0315715,3988,0.545563576,0.066004775,04/03/2024 00:00
-71.67634501,-17.02332847,3910,0.49773993,0.078634269,24/11/2023 00:00
0.178212817,47.64866581,1981,0.418699947,0.083543453,14/06/2021 00:00
25.81512944,48.09672624,407,0.376219195,0.119651809,25/09/2020 00:00
-71.6619921,43.82008603,5096,0.381146246,0.229804689,08/12/2023 00:00
-114.1893542,46.91474205,6598,0.479787154,0.054374325,08/12/2023 00:00
-85.67908121,35.83307969,7203,0.534875852,0.100216242,08/12/2023 00:00
56.28825094,51.8636267,2621,0.635587357,0.054248726,05/08/2017 00:00
-60.77998612,-4.534984423,40,0.951725236,0.204910602,25/08/2014 00:00
28.11176539,46.86813002,9119,0.441882059,0.110612446,20/08/2023 00:00
38.51690177,52.5995063,7137,0.267746699,0.133613871,13/07/2021 00:00
104.1671924,17.70740797,8487,0.505884541,0.252021268,08/12/2023 00:00
-73.78583321,42.48367917,1101,0.321885277,0.13976957,08/12/2023 00:00
29.42302719,-0.753685647,2412,0.96983239,0.071031767,04/06/2023 00:00
32.80912323,12.55786492,4839,0.535796679,0.065109163,03/03/2023 00:00
36.81794558,-9.391629651,6279,0.966367406,0.163788997,26/05/2016 00:00
48.933845,46.01248396,2585,0.959177665,0.180055477,25/09/2023 00:00
-82.59925842,35.64592249,6237,0.340916414,0.165066815,08/12/2023 00:00
47.3606919,40.40553508,4599,0.413600005,0.137966018,08/12/2023 00:00
65.99465905,56.11050887,6359,0.690241989,0.104352532,04/09/2023 00:00
-91.05255489,18.21285989,728,0.462931364,0.077383653,06/02/2021 00:00
-179.7684777,71.17379331,3992,0.965949547,0.107092878,18/07/2021 00:00
56.42720163,54.22911467,2612,0.686798076,0.245724886,19/08/2022 00:00
34.50713584,38.78656041,1759,0.381209673,0.116377746,12/10/2018 00:00
-10.67842194,8.360719443,2856,0.961174761,0.180683997,31/01/2022 00:00
-60.17718822,-33.32558336,388,0.647870188,0.08502085,26/03/2024 00:00
-58.0725057,-20.38417564,331,0.689297084,0.094212513,09/04/2023 00:00
20.57913121,-28.75265492,1170,0.348043192,0.085298385,08/12/2023 00:00
45.16018946,-23.46259947,1833,0.968690097,0.078418328,25/12/2023 00:00
-65.46241874,-7.593220226,5699,0.967481264,0.177853984,29/06/2023 00:00
-92.85339589,67.99527704,926,0.950906673,0.068361124,07/07/2017 00:00
7.959423051,58.27146216,1711,0.204500623,0.335603571,08/11/2023 00:00
30.77497791,51.99257419,75,0.780092427,0.154162275,09/09/2022 00:00
12.40539064,4.720449889,5910,0.597502179,0.069827351,19/02/2022 00:00
62.22324406,45.75580779,2905,0.495521427,0.086316739,27/06/2023 00:00
-75.64482082,-8.001053712,5783,0.966096368,0.402439002,19/08/2023 00:00
-57.11265953,-30.14429554,629,0.756012578,0.209028496,09/05/2020 00:00
-43.17140962,-11.10912767,1008,0.474618484,0.044587009,18/06/2022 00:00
-104.6531626,34.89482924,7531,0.493898218,0.12761258,05/05/2021 00:00
40.41238327,-13.45633893,2648,0.957560683,0.126383411,18/07/2021 00:00
-78.54325675,-5.643766174,3381,0.385225867,0.147999896,08/12/2023 00:00
-68.51256438,7.451402455,1423,0.967614433,0.086356253,17/04/2023 00:00
-9.679850996,5.855800148,2855,0.969409991,0.147555267,08/12/2015 00:00
17.94559299,45.79066937,1708,0.530879072,0.088559132,10/12/2023 00:00
-67.88223597,7.980826091,4232,0.647992387,0.070799719,18/03/2024 00:00
-53.51351391,-29.88133271,2863,0.522057675,0.083657534,29/03/2022 00:00
15.42572463,11.27219341,265,0.680951595,0.138851019,13/03/2022 00:00
9.154331859,-1.125796914,3123,0.9501815,0.167100718,19/03/2024 00:00
-57.24911983,-24.89491552,6827,0.963613545,0.133614397,29/06/2021 00:00
20.25031096,-17.88990739,3395,0.448985456,0.078305504,04/07/2023 00:00
32.07248292,47.00745507,4477,0.366737502,0.151212995,22/09/2023 00:00
-62.98983118,-8.215121457,1370,0.961249919,0.197880498,16/06/2020 00:00
-90.8751645,38.35377417,3060,0.58988615,0.101844934,28/02/2023 00:00
-92.77801044,33.5615472,3074,0.578876051,0.07119709,25/01/2022 00:00
21.9308709,67.36957541,1490,0.95658422,0.093907749,30/05/2013 00:00
-57.67457726,-19.00114291,3674,0.376765822,0.14385884,08/12/2023 00:00
38.59172104,-14.16009012,4773,0.950053089,0.143611773,19/06/2023 00:00
-62.44848471,9.915680838,6693,0.954656491,0.246139587,14/09/2011 00:00
-53.10932608,-29.85160797,2693,0.423055605,0.091668362,07/06/2018 00:00
15.7902746,5.207355929,4891,0.634926264,0.090259007,03/05/2017 00:00
-73.94903407,-5.059720892,1440,0.961062397,0.118270265,22/11/2023 00:00
